mode, number, value, time elapsed
0, 1, 2, 2.2172927856445312e-05
0, 2, 0, 4.76837158203125e-06
0, 3, 0, 3.814697265625e-06
0, 4, 6, 9.942054748535156e-05
0, 5, 10, 0.0007884502410888672
0, 6, 0, 3.337860107421875e-06
0, 7, 0, 3.0994415283203125e-06
0, 8, 504, 0.33467698097229004
0, 9, 2656, 3.83201265335083
0, 10, 0, 5.9604644775390625e-06
0, 11, 0, 4.0531158447265625e-06
1, 1, 2, 2.765655517578125e-05
1, 2, 0, 2.86102294921875e-06
1, 3, 0, 3.0994415283203125e-06
1, 4, 6, 0.00011038780212402344
1, 5, 10, 0.0005905628204345703
1, 6, 0, 2.6226043701171875e-06
1, 7, 0, 3.337860107421875e-06
1, 8, 504, 0.3687126636505127
1, 9, 2656, 4.056278228759766
1, 10, 0, 4.0531158447265625e-06
1, 11, 0, 4.0531158447265625e-06
0, 1, 2, 1.4066696166992188e-05
0, 2, 0, 2.86102294921875e-06
0, 3, 0, 2.6226043701171875e-06
0, 4, 6, 0.00015926361083984375
0, 5, 10, 0.0006368160247802734
0, 6, 0, 2.86102294921875e-06
0, 7, 0, 3.0994415283203125e-06
0, 8, 504, 0.34119415283203125
0, 9, 2656, 3.751197338104248
0, 10, 0, 4.291534423828125e-06
0, 11, 0, 3.5762786865234375e-06
1, 1, 2, 2.3365020751953125e-05
1, 2, 0, 2.86102294921875e-06
1, 3, 0, 3.337860107421875e-06
1, 4, 6, 0.0001308917999267578
1, 5, 10, 0.0006477832794189453
1, 6, 0, 2.86102294921875e-06
1, 7, 0, 3.0994415283203125e-06
1, 8, 504, 0.3693661689758301
1, 9, 2656, 3.983811855316162
1, 10, 0, 4.0531158447265625e-06
1, 11, 0, 3.337860107421875e-06
0, 1, 2, 1.8358230590820312e-05
0, 2, 0, 2.1457672119140625e-06
0, 3, 0, 2.1457672119140625e-06
0, 4, 6, 9.107589721679688e-05
0, 5, 10, 0.0005054473876953125
0, 6, 0, 1.6689300537109375e-06
0, 7, 0, 1.6689300537109375e-06
0, 8, 504, 0.3403158187866211
0, 9, 2656, 3.7709031105041504
0, 10, 0, 5.0067901611328125e-06
0, 11, 0, 3.337860107421875e-06
0, 1, 2, 1.811981201171875e-05
0, 2, 0, 2.6226043701171875e-06
0, 3, 0, 2.6226043701171875e-06
0, 4, 6, 0.00013208389282226562
0, 5, 10, 0.0006680488586425781
0, 6, 0, 1.9073486328125e-06
0, 7, 0, 1.6689300537109375e-06
0, 8, 504, 0.33417248725891113
0, 9, 2656, 3.758481740951538
0, 10, 0, 3.5762786865234375e-06
0, 11, 0, 1.9073486328125e-06
1, 1, 2, 1.811981201171875e-05
1, 2, 0, 1.6689300537109375e-06
1, 3, 0, 1.9073486328125e-06
1, 4, 6, 9.965896606445312e-05
1, 5, 10, 0.0005593299865722656
1, 6, 0, 1.6689300537109375e-06
1, 7, 0, 1.430511474609375e-06
1, 8, 504, 0.3634662628173828
1, 9, 2656, 4.001031160354614
1, 10, 0, 4.291534423828125e-06
1, 11, 0, 3.0994415283203125e-06
0, 1, 2, 1.430511474609375e-05
0, 2, 0, 2.6226043701171875e-06
0, 3, 0, 2.6226043701171875e-06
0, 4, 6, 9.369850158691406e-05
0, 5, 10, 0.0004999637603759766
0, 6, 0, 2.384185791015625e-06
0, 7, 0, 2.1457672119140625e-06
0, 8, 504, 0.33750462532043457
0, 9, 2656, 3.7512478828430176
0, 10, 0, 1.239776611328125e-05
0, 11, 0, 8.344650268554688e-06
1, 1, 2, 3.337860107421875e-05
1, 2, 0, 4.291534423828125e-06
1, 3, 0, 3.5762786865234375e-06
1, 4, 6, 0.00011897087097167969
1, 5, 10, 0.0005881786346435547
1, 6, 0, 3.0994415283203125e-06
1, 7, 0, 3.0994415283203125e-06
1, 8, 504, 0.370211124420166
1, 9, 2656, 4.027637958526611
1, 10, 0, 5.245208740234375e-06
1, 11, 0, 4.291534423828125e-06
0, 1, 1, 4.100799560546875e-05
0, 2, 0, 1.2874603271484375e-05
0, 3, 0, 8.821487426757812e-06
0, 4, 6, 0.00014209747314453125
0, 5, 10, 0.0006132125854492188
0, 6, 0, 1.0251998901367188e-05
0, 7, 0, 7.62939453125e-06
0, 8, 504, 0.33229804039001465
0, 9, 2656, 3.7221972942352295
0, 10, 0, 4.291534423828125e-06
0, 11, 0, 2.86102294921875e-06
1, 1, 1, 1.811981201171875e-05
1, 2, 0, 2.1457672119140625e-06
1, 3, 0, 2.384185791015625e-06
1, 4, 6, 9.942054748535156e-05
1, 5, 10, 0.0005576610565185547
1, 6, 0, 2.1457672119140625e-06
1, 7, 0, 2.384185791015625e-06
1, 8, 504, 0.3610832691192627
1, 9, 2656, 4.2857701778411865
1, 10, 0, 5.245208740234375e-06
1, 11, 0, 3.5762786865234375e-06
0, 1, 1, 1.4066696166992188e-05
0, 2, 0, 2.384185791015625e-06
0, 3, 0, 2.384185791015625e-06
0, 4, 6, 8.559226989746094e-05
0, 5, 10, 0.0005185604095458984
0, 6, 0, 1.3589859008789062e-05
0, 7, 0, 5.9604644775390625e-06
0, 8, 504, 0.33054423332214355
0, 9, 2656, 3.583796739578247
0, 10, 0, 4.0531158447265625e-06
0, 11, 0, 2.1457672119140625e-06
1, 1, 1, 2.1219253540039062e-05
1, 2, 0, 1.9073486328125e-06
1, 3, 0, 2.1457672119140625e-06
1, 4, 6, 0.00010704994201660156
1, 5, 10, 0.0005664825439453125
1, 6, 0, 2.1457672119140625e-06
1, 7, 0, 2.1457672119140625e-06
1, 8, 504, 0.3609895706176758
1, 9, 2656, 3.918957471847534
1, 10, 0, 5.245208740234375e-06
1, 11, 0, 2.86102294921875e-06
0, 1, 1, 1.3828277587890625e-05
0, 2, 0, 2.384185791015625e-06
0, 3, 0, 3.0994415283203125e-06
0, 4, 6, 0.00011444091796875
0, 5, 10, 0.0007662773132324219
0, 6, 0, 2.86102294921875e-06
0, 7, 0, 3.5762786865234375e-06
0, 8, 504, 0.32414722442626953
0, 9, 2656, 3.551290273666382
0, 10, 0, 5.245208740234375e-06
0, 11, 0, 3.337860107421875e-06
1, 1, 1, 1.8596649169921875e-05
1, 2, 0, 3.0994415283203125e-06
1, 3, 0, 3.337860107421875e-06
1, 4, 6, 0.00011777877807617188
1, 5, 10, 0.0005774497985839844
1, 6, 0, 2.1457672119140625e-06
1, 7, 0, 2.384185791015625e-06
1, 8, 504, 0.3565831184387207
1, 9, 2656, 4.022507429122925
1, 10, 0, 4.291534423828125e-06
1, 11, 0, 2.86102294921875e-06
